"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"478","D EX","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors are more busy, and professors may not be engaged with politics in class while other majors may talk about it.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"480","DIETA","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They have too much homework ","Lack of time due to course load","Probably yes","Stem"
"481","DIETA","Undergraduate, 4th year","Yes","No","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"482","DIETA","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","Politics do not interest some people","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"483","DIETA","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Analytical people, don’t think it’s important","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"484","DIETA","Undergraduate, 2nd year","No","No","Yes","Yes","Somewhat agree","Yes","No","Personally, I feel as if we are not always as educated about political topics as some other people may be","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"485","DIETA","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"486","DIETA","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"487","DIETA","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM is male dominated and men are less likely to vote than women","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"488","DIETA","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Not sure. Higher % of males? Maybe lack of interest in politics/lack of crossover in areas of interest?","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"489","DIETA","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Typically disinterested in politics. Feel indifferent about them. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"490","DIETA","Transferred, undergraduate - equivalent to 3rd year or later","Was not eligible","Was not eligible","No","No","Strongly Agree","No","No","doesn't seem relevant or like a top priority","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably not","Stem"
"491","DIETA","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Their major isn't as socially involved, such as a major in public relations.","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"492","DIETA","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","No","No","Somewhat agree","No","No","Uninterested or do not see the relevance","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"493","DS","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","STEM majors seem less socially and politically oriented.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"494","DS","Undergraduate, 5th year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Apathy, self-righteous nihilism","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"495","DS","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","We can be ignorant of the outside world.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"496","E E","Undergraduate, 3rd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","Focused on other things ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"497","E E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Not as concerned about politics. ","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"498","E E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Neither agree nor disagree","Yes","No","Classes prevent students from taking the time to research candidates and make an educated decision on who to vote for.","Lack of time due to course load","Definitely yes","Stem"
"499","E E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Heavier workload","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"500","E E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","Individual votes don't really seem to matter in the current system.","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"501","E E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Because theyre smart and realize our government will suck no matter who we elect.","","Definitely yes","Stem"
"502","E E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Don’t think it would affect the outcome","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"503","E E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"504","E E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Political apathy or ""both sides are bad so why bother""","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"505","E E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors have no time whatsoever to dedicate to political involvement. They’re also less likely to make an ill informed decision and throw off the democracy.","Lack of time due to course load","Definitely not","Stem"
"506","E E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","Logically they know their vote has a neglagable impact on the outcome.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"507","E E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","Lack of interest in politics.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"508","E E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Somewhat disagree","No","No","","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"509","E E","Undergraduate, 3rd year","Yes","No","Yes","Yes","Strongly Agree","Yes","No","Indifference, thinks that politics don't affect them","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"510","E E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Somewhat agree","Yes","No","I think that STEM majors are primarily focused on school and personal issues opposed to the world of politics around them.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"511","E E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Neither agree nor disagree","Yes","No","","Lack of time due to course load,Lack of discussion on these topics in classes","Probably not","Stem"
"512","E E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","No","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"513","E E","Undergraduate, 1st year","No","No","No","No","Somewhat agree","No","No","Voting doesn't impact us much. All the politicians are leeches that don't help the country most of the time","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"514","E E","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","Yes","Yes","Strongly Agree","No","No","Voting seems more of an action taken by other degree s3eking programs, less tech based. This although it is very important for society to vote it is less of a concern then the new science topics","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"515","E E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","No","No","STEM majors don't go out and do things like socialize / have friends / vote","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"550","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Lack of Knowledge (importance)","Lack of discussion on these topics in classes","Might or might not","Stem"
"551","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","laziness","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably not","Stem"
"552","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","Yes","They are less in touch with how they feel about things","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"553","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Can’t decide because there’s no good choice ","Lack of discussion on these topics in classes","Probably yes","Stem"
"554","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","many STEM students do not have an interest in politics","","Definitely yes","Stem"
"555","ENGR","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Too busy to really look into candidates","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"556","ENGR","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","They know that statistically their vote is almost worthless","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"557","ENSCS","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not a lot of time to vote","Lack of time due to course load","Definitely yes","Stem"
"558","ENSCS","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"559","ENSCS","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They don’t care","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"560","ENSCS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not focused as much on politics as other majors","Lack of discussion on these topics in classes","Definitely yes","Stem"
"561","ENSCS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","No","Because it doesnt really affect their career and they are among the busiest majors. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"562","ENSCS","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They may not believe it has much importance to them, or they just could not make up their mind, or felt too uninformed. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"563","ENSCS","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"564","ENSCS","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","They're more focused on things that directly pertain to their research ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"565","ENSCS","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","They are busying working or don't care about the voting outcome","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"566","ENSCS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","I feel as if many STEM majors tend not to talk about politics and are not as civically engaged.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"567","ENSCS","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","Yes","Maybe because they are engrossed in their studies?","Lack of time due to course load","Probably yes","Stem"
"568","ENSCS","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They might think it doesn’t matter who gets elected because they will be fine financially no matter what","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"569","ENSCS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"570","ENSCS","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I'm not sure","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"610","GEN","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Their majors are less politically oriented compared to some of the humanities and social sciences","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"611","GEN","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","I think that STEM students don't have time due to coursework to get involved politically. ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"612","GEN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors are politically distant ","Lack of discussion on these topics in classes","Definitely yes","Stem"
"613","GEN","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Not exposed to the ideas of changing the world without our trade.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"614","GEN","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Too much class work ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"615","GEN","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","A lack of time perhaps? And many just seem uninterested ","Lack of time due to course load","Might or might not","Stem"
"616","GEN","Transferred, undergraduate - equivalent to 3rd year or later","No","Was not eligible","No","No","Strongly disagree","No","No","I don't know. Personally, I think democracy is flawed in the aspect that voters are often uneducated. If I was to vote, I would do proper research beforehand. But most of society aren't properly educated about who or what they are voting for. This leads to the most popular side to win and the most popular side won't necessarily be what is in the best interest of the people that voted.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"617","GEN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","It was situation to who was the lesser evil, so they chose not to vote. Also, they may think that there vote does not matter in turns of being the deciding vote on who is president.","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"618","GEN","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"619","GEOL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","not enough time in the day, forgetfulness","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"620","GEOL","Undergraduate, 2nd year","No","Was not eligible","No","Yes","Somewhat agree","No","No","Presidential is electoral college, so it’s really just a statistics poll. However local gov probs matters more but it’s not a huge impact","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"621","GEOL","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They don't care for it cause it won't affect them directly.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"622","GEOL","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Maybe students with STEM majors, on average, consume less political news and have more interests outside of politics. ","Lack of discussion on these topics in classes","Definitely yes","Stem"
"624","GLOBE","Undergraduate, 3rd year","Yes","No","Yes","Yes","Strongly Agree","Yes","No","","Lack of discussion on these topics in classes","Definitely yes","Stem"
"625","GLOBE","Undergraduate, 5th year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","I have no idea","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"626","GLOBE","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Issues might not be as present in class discussions, etc","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"627","GLOBE","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Majority of those students are likely white and privileged in a sense that they don’t feel the need to vote.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"628","GLOBE","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I think it is as low as it is because it could be that they are more focused on their studies that they do not think about voting. Another reason might be because people in those majors might not be American citizens therefore cannot vote when elections happen. Another reason could be that people in those majors are focused on other things and do not think that it would matter to vote. Overall, it just depends on the person and the statistics of the majors, but these are just my opinion. ","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"629","GLOBE","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","Yes","Yes","I think while we are in school STEM majors are told that they need to devote 100% of their time to learning the challenging course work so they believe they don’t have time to be politically involved or vote ","Lack of time due to course load","Definitely yes","Stem"
"630","GLOBE","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","disillusionment ","","Probably not","Stem"
"631","GLOBE","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They’re rich and privileged enough that the election results won’t effect them.","The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"644","HORT","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","Yes","Not as engaged in politics in general ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"645","HORT","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","because people do not realize that voting is important to their profession/major and just their life and STEM majors are not required to take classes that touch on how the government dictates their daily life as much as say a liberal arts major sees it in classes. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"646","HORT","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"647","HORT","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","They may care less about politics than their interests inside of STEM, or they may often feel attacked by politics and so they don't want to be apart of it.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"648","HORT","Undergraduate, 2nd year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Non arts have less focus on societal issues","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"649","HORT","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Political stress and the feeling like their vote doesn't matter.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"650","HORT","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Many of the people in these majors may come from smaller communities that focus less on encouraging voting and more on general education","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"651","HORT","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","They might feel that their vote doesn't matter.","Lack of discussion on these topics in classes","Might or might not","Stem"
"655","I E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","STEM students have a higher workload and are more too busy to find time to vote. ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"656","I E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","I believe that students are not motivated enough to get involved in the complex system of politics","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"657","I E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","My peers have mindsets that are very logical. They may feel that voting does not affect them, so they should not waste their time doing it. Some of them are also probably very uninformed about current events.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"658","I E","Undergraduate, 4th year","No","Was not eligible","Yes","No","Somewhat agree","Yes","No","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"659","I E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","No","Yes","The majority of students at ISU are STEM majors (right?) So there will be more people not voting just because there's a large pool of people.","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"660","I E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"661","I E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","Stem majors don’t get as much exposure to the problems","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"662","I E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","I think due to the lack of social sciences required in STEM majors there is less of an understanding of the importance of voting and civic engagement. ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"663","I E","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","I thin that it is lower because they have less time to devote to researching canadates and decided who to vote for.","Lack of time due to course load","Probably yes","Stem"
"664","I E","Undergraduate, 1st year","No","No","Yes","Yes","Strongly Agree","No","Yes","They are less engaged in politics. ","Lack of time due to course load","Probably yes","Stem"
"665","I E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They've got other shit to do because stem shit is hard, get off our backs dude","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"666","I E","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","Too busy ","Lack of time due to course load","Probably not","Stem"
"667","I E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Neither agree nor disagree","No","No","We don’t care ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"668","I E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Neither agree nor disagree","No","No","Apathy. Personally I don't care who runs the government as long as they don't bother me.","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"669","I E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","not sure","","Might or might not","Stem"
"670","I E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of discussion on these topics in classes","Might or might not","Stem"
"671","I E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","No","No","Nerds just stay in their own bubbles and play video games. They don't care about voting.","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"672","I E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","Less reliant on government programs","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"673","I E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","It's easier for students focused on STEM to ignore/forget about the political climate. Other majors are more closely and immediately affected by it.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"674","I E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"675","I TEC","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","No","Most probably just don’t care","","Probably yes","Stem"
"676","I TEC","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","People not caring/knowing how significant the decision is","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"677","I TEC","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","We have other priorities over becoming further involved in the chaos of modern politics. ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"678","I TEC","Undergraduate, 3rd year","No","Yes","Yes","No","Neither agree nor disagree","Yes","Yes","They are Afraid to admit what party they support ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"696","KIN","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","they have no free time","Lack of time due to course load","Might or might not","Stem"
"697","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I'm not sure","Lack of discussion on these topics in classes","Probably yes","Stem"
"698","KIN","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"699","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","Yes","Too busy ","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"700","KIN","Undergraduate, 3rd year","No","Yes","Yes","No","Strongly Agree","Yes","Yes","","Lack of time due to course load","Probably yes","Stem"
"701","KIN","Transferred, undergraduate - equivalent to 3rd year or later","No","No","No","No","Neither agree nor disagree","No","No","They're intellectuals","The belief that government and who is elected to it aren't important","Probably yes","Stem"
"702","KIN","Undergraduate, 3rd year","No","No","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load","Probably yes","Stem"
